,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Igarka,RU,67.4667,86.5833,47.64,98,100,6.31,moderate rain
211,Umm Lajj,SA,25.0213,37.2685,95.29,44,18,13.71,few clouds
212,Bathsheba,BB,13.2167,-59.5167,83.48,71,95,16.04,overcast clouds
213,Chotila,IN,22.4167,71.1833,78.03,75,100,10.51,heavy intensity rain
214,Areia Branca,BR,-4.9561,-37.1369,85.42,44,11,15.19,few clouds
215,Mirabad,AF,30.4362,61.8383,97.79,10,5,25.9,clear sky
216,Balkhash,KZ,46.844,74.9804,66.81,22,0,11.18,clear sky
217,Ayagoz,KZ,47.9714,80.4392,59.61,24,35,13.98,scattered clouds
218,Villa Constitucion,AR,-33.2278,-60.3297,53.56,85,100,17.67,overcast clouds
219,Tocopilla,CL,-22.092,-70.1979,61.3,64,94,5.5,overcast clouds
220,Bashtanka,UA,47.4072,32.4387,76.68,19,0,6.49,clear sky
221,Diffa,NE,13.3154,12.6113,89.28,43,95,9.78,overcast clouds
222,Netanya,IL,32.3329,34.8599,96.04,49,0,14.47,clear sky
223,Hofn,IS,64.2539,-15.2082,53.62,62,0,6.91,clear sky
224,Manbij,SY,36.5281,37.9549,95.77,20,0,16.13,clear sky
225,Saint-Pierre,RE,-21.3393,55.4781,76.64,66,90,14.97,overcast clouds
226,Miraflores,MX,19.2167,-98.8083,56.05,95,97,3.18,overcast clouds
227,Challapata,BO,-18.9,-66.7667,45.05,59,3,2.3,clear sky
228,The Valley,AI,18.217,-63.0578,87.66,79,40,8.05,scattered clouds
229,Kulhudhuffushi,MV,6.6221,73.07,82.74,72,59,9.24,broken clouds
230,Codrington,AU,-38.2667,141.9667,53.91,86,100,14.54,overcast clouds
231,Mattawa,US,46.7379,-119.9028,65.1,61,41,6.87,scattered clouds
232,Kattivakkam,IN,13.2167,80.3167,93.29,62,88,13.0,overcast clouds
233,Sibiti,CG,-3.6819,13.3499,96.58,30,41,2.93,scattered clouds
234,Cuzama,MX,20.7333,-89.3167,77.95,98,57,3.24,broken clouds
235,Yurimaguas,PE,-5.9,-76.0833,72.21,96,72,2.04,broken clouds
236,Hualmay,PE,-11.0964,-77.6139,60.89,90,84,7.11,broken clouds
237,Nikki,BJ,9.9401,3.2108,84.0,64,79,6.67,broken clouds
238,Prainha,BR,-1.8,-53.48,81.25,71,69,5.1,broken clouds
239,Daman,IN,20.4167,72.85,80.71,89,100,17.74,overcast clouds
240,Kibre Mengist,ET,5.8833,38.9833,61.52,83,100,2.82,overcast clouds
241,Korla,CN,41.7597,86.1469,89.96,14,0,8.25,clear sky
