City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
54,Jamestown,US,62.51,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
55,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
57,Bredasdorp,ZA,75.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
58,Deda,RO,71.96,clear sky,46.9333,24.9,Cabana LaCovrig
59,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
60,Corralillo,CU,77.27,clear sky,22.9819,-80.5856,Hostal De Pedri
61,Kontagora,NG,86.18,scattered clouds,10.3999,5.4695,Queens Guest Inn
62,Svencionys,LT,71.46,few clouds,55.15,26.1667,Šviesa
63,Port Blair,IN,78.17,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
64,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
67,Gazanjyk,TM,86.09,clear sky,39.2446,55.5154,Railway motel
68,Boke,GN,87.33,broken clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
69,Manta,EC,71.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
70,Sambava,MG,76.95,scattered clouds,-14.2667,50.1667,Melrose
71,Lixourion,GR,78.66,few clouds,38.2019,20.4314,Hotel Summery
72,Souillac,MU,74.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
74,Sarahan,IN,66.52,overcast clouds,31.5167,77.8,OYO 39328 Bushahr Heights
75,Bonavista,CA,62.11,scattered clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
76,Changji,CN,88.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
78,Barra Dos Coqueiros,BR,80.62,few clouds,-10.9089,-37.0386,Jangadeiro
80,Hopewell,US,75.11,overcast clouds,37.3043,-77.2872,Best Western Plus Hopewell Fort Lee
83,Castro,BR,65.55,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
84,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
85,Caravelas,BR,80.13,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
87,Oistins,BB,82.98,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
88,Baiao,BR,81.63,scattered clouds,-2.7906,-49.6717,Hotel Eurosono
89,Marrakesh,MA,87.87,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
90,Saint George,US,77.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
91,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
92,Goderich,CA,61.92,overcast clouds,43.7501,-81.7165,Harmony Inn
93,Camacha,PT,76.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
94,Beyneu,KZ,70.72,few clouds,45.3167,55.2,NUR
96,Bandar-E Anzali,IR,68.11,overcast clouds,37.4727,49.4622,هتل بیاچ
97,Goksun,TR,83.35,clear sky,38.021,36.4973,Prof. Dr. Mehmet Saglam Ogretmenevi
98,Talmenka,RU,60.24,overcast clouds,53.8183,83.5677,Taverna U Dyadi Viti
100,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
104,Gafanha Da Encarnacao,PT,81.05,broken clouds,40.6181,-8.733,Hotel Barra
106,Hamilton,US,61.09,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
108,Puerto Leguizamo,CO,71.51,scattered clouds,-0.1934,-74.7819,la casona de juancho
