City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,Sinop,41.7711,34.8709,64.83,50,0,5.91,TR,2021-09-08 08:16:36
62,Namibe,-15.1961,12.1522,68.94,81,63,4.54,AO,2021-09-08 08:16:36
63,Caravelas,-17.7125,-39.2481,72.1,87,91,7.58,BR,2021-09-08 08:16:37
64,Elizabeth City,36.2946,-76.2511,73.98,97,1,0.0,US,2021-09-08 08:16:37
65,Bredasdorp,-34.5322,20.0403,60.28,77,6,6.91,ZA,2021-09-08 08:16:37
66,Potiskum,11.7091,11.0694,79.41,65,9,9.33,NG,2021-09-08 08:16:38
67,Vila Velha,-20.3297,-40.2925,71.55,88,75,3.44,BR,2021-09-08 08:16:39
68,Saint-Philippe,-21.3585,55.7679,76.59,67,43,14.88,RE,2021-09-08 08:16:39
69,Klaksvik,62.2266,-6.589,50.92,94,100,12.33,FO,2021-09-08 08:16:39
70,Nantucket,41.2835,-70.0995,71.1,90,1,5.75,US,2021-09-08 08:16:23
71,Faya,18.3851,42.4509,84.72,12,67,18.05,SA,2021-09-08 08:16:40
72,Port Alfred,-33.5906,26.891,64.56,43,7,6.69,ZA,2021-09-08 08:16:40
73,Misratah,32.3754,15.0925,79.72,58,6,9.04,LY,2021-09-08 08:16:41
74,Maniitsoq,65.4167,-52.9,40.23,77,80,8.39,GL,2021-09-08 08:16:41
75,Gobabis,-22.45,18.9667,68.83,8,6,11.7,NA,2021-09-08 08:16:41
76,Kruisfontein,-34.0033,24.7314,66.88,36,30,8.61,ZA,2021-09-08 08:16:42
77,Richards Bay,-28.783,32.0377,62.08,79,97,3.65,ZA,2021-09-08 08:16:42
78,Mantenopolis,-18.8625,-41.1228,64.58,84,78,4.38,BR,2021-09-08 08:16:42
79,Taoudenni,22.6783,-3.9836,100.53,9,29,11.48,ML,2021-09-08 08:16:43
80,Severnoye,56.3491,78.3619,60.31,52,100,2.98,RU,2021-09-08 08:16:43
81,Oshkosh,44.0247,-88.5426,60.89,76,1,1.99,US,2021-09-08 08:16:44
82,Male,4.1748,73.5089,82.67,69,86,9.89,MV,2021-09-08 08:16:44
83,Tamsweg,47.1281,13.811,63.43,64,7,6.29,AT,2021-09-08 08:16:44
84,Yazman,29.1212,71.7446,100.74,36,89,10.89,PK,2021-09-08 08:16:45
85,Novi Ligure,44.7608,8.7896,77.83,65,12,1.99,IT,2021-09-08 08:16:45
86,Nerekhta,57.4588,40.5747,57.09,81,100,14.5,RU,2021-09-08 08:16:46
87,Ilulissat,69.2167,-51.1,30.22,74,20,0.0,GL,2021-09-08 08:16:46
88,Dakar,14.6937,-17.4441,79.68,78,33,5.82,SN,2021-09-08 08:14:31
89,Gbarnga,6.9956,-9.4722,72.75,97,66,0.72,LR,2021-09-08 08:16:46
